molecule_id,smiles,type,units,value,molecular_weight,pIC50
CHEMBL224419,N#Cc1ccc(NCCNCC(=O)N2CCSC2)nc1,IC50,nM,270.0,291.38,6.568636235841013
CHEMBL224421,O=C([C@@H]1C[C@H](NS(=O)(=O)c2ccccc2)CN1)N1CCSC1,IC50,nM,300.0,341.45800000000014,6.522878745280337
CHEMBL224435,O=C([C@@H]1CCCN1)N1CCSC1,IC50,nM,538.0,186.28,6.269217724333611
CHEMBL22511,N[C@H](C(=O)N1CC[C@H](F)C1)C1CCCCC1,IC50,nM,170.0,228.31099999999992,6.769551078621726
CHEMBL22545,N[C@H](C(=O)N1C[C@H](F)[C@@H](F)C1)[C@H]1CC[C@H](NC(=O)OCc2ccccc2)CC1,IC50,nM,830.0,395.4500000000002,6.080921907623926
CHEMBL225493,O=C([C@@H]1C[C@H](N2CCc3cc([N+](=O)[O-])ccc32)CN1)N1CCSC1,IC50,nM,7.9,348.4280000000001,8.102372908709558
CHEMBL226335,C[C@@H]1O[C@@H](OC[C@H]2O[C@@H](Oc3c(-c4ccc(O)c(O)c4)oc4cc(O)cc(O)c4c3=O)[C@H](O)[C@@H](O)[C@@H]2O)[C@H](O)[C@H](O)[C@H]1O,IC50,nM,145000.0,610.5210000000004,3.838631997765025
CHEMBL226396,Nc1nc(Cl)c2nc[nH]c2n1,IC50,nM,5.0,169.57500000000002,8.301029995663981
CHEMBL226771,N#Cc1ccc(CN(CCO)[C@@H]2CN[C@H](C(=O)N3CCSC3)C2)cc1,IC50,nM,17.0,360.4830000000002,7.769551078621726
CHEMBL22679,N[C@H](C(=O)N1CCCC1)[C@H]1CC[C@H](NC(=O)OCc2ccccc2)CC1,IC50,nM,94.0,359.4700000000001,7.026872146400302
CHEMBL227089,COc1cc2nc(N3CCC[C@@H](N)C3)n(Cc3ccccc3C#N)c(=O)c2cc1OC,IC50,nM,19.0,419.4850000000002,7.721246399047171
CHEMBL227356,N#Cc1ccccc1Cn1c(N2CCC[C@@H](N)C2)nc2cc(N3CCOCC3)c(F)cc2c1=O,IC50,nM,18.0,462.5290000000003,7.7447274948966935
CHEMBL227418,N#Cc1ccc(NC(=O)N[C@@H]2CN[C@H](C(=O)N3CCSC3)C2)cc1,IC50,nM,85.9,345.4280000000001,7.066006836168758
CHEMBL227464,N#Cc1ccccc1Cn1c(N2CCC[C@@H](N)C2)nc2cccc(F)c2c1=O,IC50,nM,5.0,377.42300000000006,8.301029995663981
CHEMBL227482,N#Cc1ccc(CN(CC(=O)O)[C@@H]2CN[C@H](C(=O)N3CCSC3)C2)cc1,IC50,nM,16.8,374.4660000000002,7.774690718274137
